Name,Job Role,Skills,Education
18242317.pdf,AGRICULTURE,"Sas, Analytical, Technical, Analysis, Experimental, Chemicals, Research, Data collection, Training, Analyze, Presentation, Design, Biology, Inventory, Green, Statistical analysis, Communication","Master of Science : Entomology - Qualifying, Bachelor of Science : Environmental Science"
18264694.pdf,AGRICULTURE,"Prospecting, Real estate, Marketing, Documentation, Transactions, Event planning, Regulations, Economics, Presentations, Communication, Requests, Trade shows, Procurement, Sales, Business development, Advertising, Newspaper, International, Administration, English, Finance, Telecom, Database, Transportation, Staffing, Human resources, Strategic direction, Risk management, Budget, Research, Training, Market research, Supervisor","MBA, Masters in Business Administration"
26921245.pdf,AGRICULTURE,"Gis, Teaching, Reports, Documentation, Health, Spreadsheets, Excel, Communication, Schedule, Requests, Quality control, Cola, Statistics, Publishing, Saws, Analytical, Technical, Biology, Payments, Safety, Analysis, Research, Training, Legal, System, Logistics, Spanish","Bachelor of Science : Environmental Policy and Management, Masters of Science, Impact of Management on Soil Fertility and Rice Yields in Smallholder Farms in Tanzania Â"
30437583.pdf,AGRICULTURE,"Gis, Editing, Reports, Marketing, Health, Information technology, Presentations, Partnerships, Excel, Green, Program development, Policies, Communication, Public health, Analyze, Correspondence, Statistics, Engagement, Microsoft powerpoint, International, Technical, Adobe, Word, Database, Biology, Outreach, Video, Chemistry, Analysis, Research, Strategy, Travel, Supervisor, Photoshop, Powerpoint","Bachelors of Science : Community Health Nutrition George Mason University ï¼​ City , State GPA: GPA: 3.04 Deans list Community"
36102323.pdf,AGRICULTURE,"Reports, Documentation, Health, Process, Hospital, Updates, Experiments, Cpr, Policies, Communication, Expenses, Requests, Specifications, Chemicals, Recruiting, Sales, Correspondence, Testing, Merchandising, Retention, Metrics, Inventory, Linux, Accounting, Administration, Positioning, Windows, Technical, Improvement, Certification, Safety, Budget, Analysis, Research, Training, Design, Repairs",Brown
69360287.pdf,AGRICULTURE,"Editing, Reports, Documentation, Health, Process, Regulations, Updates, Excel, Daily operations, Compliance, Access database, Website, Keyboard, Requests, Operations, Reporting, Correspondence, Oracle, Contract management, Filing, Access, Microsoft office, Administration, Auditing, Technical, Contracts, Adobe, Database, Word, Email, Budget, Training, Legal, Litigation, System, Payments, Powerpoint, Security",Bachelors of Science
69859102.pdf,AGRICULTURE,"Product quality, Regulations, Compliance, Communication, Security, Operations, Sales, Specifications, Retention, Inventory, Retail, Access, International, Administration, English, Safety, Training, Purchasing, Payments, Spanish",Minor in business administration
10876132.pdf,APPAREL,"Event planning, Investigations, Counsel, Visual, Excel, Policies, Communication, Schedule, Writing, Investigate, Operations, Ms excel, Warehouse, Analytical, Scheduling, Fulfillment, Database, Word, Email, Legal, Payments, Audit",Bachelor's degree
12860543.pdf,APPAREL,"Construction, Marketing, Engineering, Product development, Prototype, Presentations, Fabric, Updates, Excel, Content, Website, Schedule, Specifications, Business development, Testing, Saws, Technical, Presentation, Adobe, Word, Vendors, Illustrator, Analysis, Research, Design, Project management, Photoshop, Powerpoint","Bachelor of Fine Arts, Bachelor of Fine Arts in Industrial Design GPA"
15154822.pdf,APPAREL,"Reports, Marketing, Process, Product development, Prototype, Presentations, Fabric, Communication, Operations, Sales, Marketing strategy, International, Technical, English, Brand, Analysis, Strategy, Design, Photoshop, Spanish",MARKETING
16500168.pdf,APPAREL,"Teaching, Documentation, Process, Visual, Excel, Sales goals, Website, Communication, Photography, Sales, Customer service, Facebook, Inventory, Product knowledge, Lighting, Retail, Tv, Presentation, Contracts, Invoices, Video, Networking, Training, Design, System, Payments, Twitter",Bachelor of Arts: Communications 2014
16915389.pdf,APPAREL,"Construction, International, Operations, Process, Analysis, Sales, Research, Market research, Presentation, Vendors, Brand, Design, Merchandising, Communication",Bachelor of Arts
17714174.pdf,APPAREL,"Prospecting, Marketing, Health, Plan, Presentations, Excel, Compliance, Policies, Communication, Sales goals, Operations, Reporting, Sales, Recruiting, Analyze, Retention, Inventory, Business planning, Licensing, International, Positioning, Finance, English, Contracts, Brand, Social media, Analysis, Research, Legal, Customer service, Powerpoint, Spanish",Bachelor of Science Florida State University
36094883.pdf,APPAREL,"Writing, Reports, International, Marketing, Analysis, Auditing, Sales, Technical, Customer service, Training, Drafting, Design, Excel, Negotiation, Certification, Communication",B.A
41586420.pdf,APPAREL,"Reports, Documentation, Process, Transactions, Plan, Visual, Excel, Deposits, Communication, Reporting, Sales, Analyze, Pivot, Merchandising, Supervising, Inventory, Mis, Retail, Sourcing, Warehouse, English, Scheduling, Coaching, Fulfillment, Word, Budget, Training, Supervisor, System, Purchasing, Logistics, Customer service, Audit",Bachelors of Commerce
71767359.pdf,APPAREL,"Sports, Teaching, Marketing, Process, Plan, Prototype, Updates, Excel, Communication, Trade shows, Reporting, Sales, Testing, Merchandising, Advertising, Partnership, Business planning, Retail, Sourcing, Technical, Adobe, Vendors, Word, Illustrator, Analysis, Research, Strategy, Travel, Design, Flex, Powerpoint",Bachelor of Arts : Sociology 1996
78273826.pdf,APPAREL,"Product line, Construction, Reports, Documentation, Process, Plan, Product development, Fabric, Excel, Communication, Schedule, Purchase orders, Operations, Specifications, Sales, Correspondence, Quality control, Merchandising, Pattern, Inventory, Sourcing, Orange, Technical, Adobe, Vendors, Word, Illustrator, Improvement, Schedules, Cad, Sketch, Analysis, Travel, Design, System, Photoshop, Digital media","Bachelor of Arts : Clothing and Textiles. Focus in Fashion Design , 2010 California State University"
11555549.pdf,ARTS,"Visual, Teaching, Microsoft office, Wordpress, Indesign, Adobe, Word, Design, Illustrator, Cloud, Excel, Powerpoint, Website, Photoshop",Arts
12386670.pdf,ARTS,"Audio, Teaching, Plan, Economics, Content, Visual, Policies, Website, Photography, Investigate, Writing, Cola, International, English, Certification, Interactive, Research, Training, Design",Masters Degree in Secondary Education Curriculum Development
15265464.pdf,ARTS,"Psychology, Math, Certification, Training, Word, Testing, Merchandising, Design, System, Updates, Schedules, Powerpoint, Communication",Associate of Arts : Education
17033567.pdf,ARTS,"Video, Fitness, Cpr","Bachelor of Arts , electric bass"
18586076.pdf,ARTS,"Teaching, Marketing, Health, Ordering, Plan, Documentation, Excel, Policies, Communication, Affiliate, Therapeutic, Operations, Reporting, Microsoft office suite, Administration, Technical, Data collection, Word, Outreach, Fitness","Master of Arts : Expressive Therapies City , State"
25157655.pdf,ARTS,"Psychology, Schedule, Analytical, Crm, Sales, Training, Word, Sharepoint, Oracle, Excel, Licensing",Bachelor of Arts : Psychology
27096796.pdf,ARTS,"International, Training, Communication, Administration",Bachelor of Arts
28325193.pdf,ARTS,"French, Teaching, P, Technical, English, Research, Facebook, Word, Travel, Testing, Supervisor, Design, Relationship building, Twitter, Certification, Communication",Bachelor of Arts in Theater Arts
33344933.pdf,ARTS,"Teaching, Certification, Writing, International, English, Coaching, Java, Design, Improvement, Content, Licensing","Bachelor of Arts , History & English"
36379931.pdf,ARTS,"Salesforce, Hospital, Excel, Expenses, Website, Communication, Raw materials, Google drive, Operations, Sales, Recruiting, Correspondence, Advertising, Engagement, Filing, Hospitality, English, Contracts, Word, Brand, Email, Budget, Networking, Research, Travel, Design, System, Researching",Bachelor of Arts
39470264.pdf,ARTS,"Teaching, Business management, Reports, Marketing, Ordering, Plan, Policies, Communication, Procurement, Operations, Sales, Retention, Negotiation, Retail, Accounting, Finance, Administration, Technical, Contracts, Invoices, Transportation, Database, Payroll, Budget, Research, Training, System, Purchasing, Logistics, Customer service, Project management, Change management",Master of Science : Management
46055835.pdf,ARTS,"Teaching, Reports, Presentations, Content, Excel, Website, Writing, Trade shows, Journalism, Correspondence, Broadcast, Filing, Administration, Word, Improvement, Research, Training, Performance improvement, Travel, System, Powerpoint, Recruitment","Master in Education : Instruction, Curriculum & Assessment, Bachelor of Science : Broadcast Journalism"
50432401.pdf,ARTS,"Reports, Marketing, Process, Spreadsheets, Presentations, Psychology, Requests, Writing, Operations, Sales, Business development, Correspondence, Access, English, Contracts, Invoices, Vendors, Invoicing, Acquisition, Outreach, Payroll, Operations management, Networking, Public relations, Billing",Bachelor of Science : Elementary Education
65352424.pdf,ARTS,"Math, Teaching, Reports, Engineering, Process, Updates, Visual, Content, Excel, Programming, Communication, Sales, Recruiting, Technical, Scheduling, Installation, Improvement, Schedules, Staffing, Process improvement, Budget, Networking, Analysis, Audit, Training, Travel, Logistics, Conversion, Powerpoint",Bachelor of Science of Education
73030450.pdf,ARTS,"Engineering, Documentation, Cisco, Content, Policies, Routing, Protocols, Specifications, Logging, Electronics, Visio, Ios, Access, Administration, Technical, Troubleshooting, Vendors, Os, Vmware, Networking, Analysis, Servers, Dhcp, Lan, Design, Migration, Security","Bachelor's Degree : Electronics and Communications JNTU - Electronics and Communications, Computer Science Wright State University, State Computer Science, Master's Degree"
14455622.pdf,AUTOMOBILE,"Proposal, Marketing, Engineering, Aviation, Compliance, Schedule, Requests, R, Operations, Sales, Contract management, Program management, Accounting, International, Administration, Scheduling, Presentation, Contracts, Vendors, Invoicing, Account management, Budget, Supervisor, Forecasting, Purchasing, Repairs, Customer service","Bachelor of Science Lewis University Airframe & Powerplant License
Aviation Maintenance and Management"
15100547.pdf,AUTOMOBILE,"Health, Process, Regulations, Counsel, Policies, Communication, Writing, Negotiation, Administration, English, Quality assurance, Risk management, Analysis, Research, Training, Legal, Strategy, Investigation, Travel, Litigation, Supervisor","Bachelor of Arts , English Literature 2000 Texas"
97449528.pdf,AUTOMOBILE,"Reports, Health, Inventory management, Spreadsheets, Reconciliation, Regulations, Economics, Case management, Policies, Communication, Website, Psychology, Schedule, Writing, Requests, Variances, Reporting, Retention, Inventory, Filing, Accounting, Finance, Administration, English, Scheduling, Coding, Contracts, Vendors, Payroll, German, Analysis, Research, Training, Billing, Peoplesoft, System, Payments",BA in Psychology
11169163.pdf,AVIATION,"Sap, Reports, Documentation, Process, Spreadsheets, Aviation, Visual, Green, Compliance, Policies, Writing, Operations, Sales, Lean, Metrics, Technical, Administration, Quality assurance, Improvement, Schedules, Acquisition, Repairs, Safety, Budget, Gunnery, Analysis, Training, Supervisor, System, Logistics","Bachelor of Arts : Human Resources Management Business Administration Ashford University ï¼​ City , State Human Resources Management 3.8
Business Administration"
12239749.pdf,AVIATION,"Teaching, Mathematics, Regulations, Content, Aviation, Excel, Communication, Writing, Procurement, Statistics, Merchandising, Inventory, Access, Microsoft office, Technical, Windows, Database, Word, Vendors, Safety, Fitness, Data entry, Training, Supervisor, Logistics, Powerpoint","Master of Arts , Education- M.Ed, Bachelor of Arts , History and Philosophy 5 2008 University of the Pacific ï¼​ City , State GPA: Dean's Honor Roll GPA: 3.49 Phi Alpha Theta,
Mortar Board and Alpha Sigma Lambda honors Mortar Board Chapter Historian"
15823995.pdf,AVIATION,"Process, Schematics, Aviation, Radar, Excel, Compliance, Policies, Communication, Operations, Sales, Lean, Recruiting, Electronics, Testing, Inventory, Administration, Quality assurance, Windows, Troubleshooting, Coaching, Adobe, Word, Installation, Six sigma, Certification, Safety, Complex projects, Human resource, Analysis, Research, Training, Legal, Supervisor, System, Powerpoint, Security","Master of Science , Management May, Bachelor of Business Administration May"
16449694.pdf,AVIATION,"Business management, Reports, Inventory management, Spreadsheets, Regulations, Aviation, Policies, Communication, Controls, Budgeting, Distribution, Operations, Procurement, Reporting, Leadership development, Customer service, Analyze, Correspondence, Quality control, Retention, Inventory, Filing, Accounting, Analytical, Auditing, Warehouse, Scheduling, Administration, Technical, Database, Vendors, Transportation, Invoicing, Acquisition, Safety, Budget, Erp, Analysis, Research, Training, Travel, Supervisor, System, Purchasing, Logistics, Hotel, Conversion, Security",BACHELOR OF SCIENCE
22990761.pdf,AVIATION,"Requests, Wheel, Administration, Health, Policies, Training, Beverage, Electrical, Healthcare, Hospital, Aviation, C, Certification, Safety",Bachelors of Science Degree
23985183.pdf,AVIATION,"Reports, Marketing, Process, Presentations, Aviation, Compliance, Policies, Communication, Schedule, Writing, Operations, Supervising, Inventory, Negotiation, Marketing programs, Accounting, International, Administration, Improvement, Schedules, Acquisition, Certification, Safety, Talent acquisition, Budget, Analysis, Training, Travel, Supervisor, System, Forecasting, Logistics, Project management, Security",Bachelor of Science : Business Administration
24589765.pdf,AVIATION,"Math, Real estate, Construction, Engineering, Plan, Aviation, Partnerships, Excel, Program development, Policies, Communication, Reporting, Sales, Lean, Oracle, Program management, Visio, Partnership, Access, Accounting, Finance, Technical, International, Continuous improvement, Word, Improvement, Outreach, Budget, Forecasts, Training, Design, System, Audit, Powerpoint","Bachelor of Science : Flight Technology Flight Technology
Central Washington University Executive Management Program"
24668861.pdf,AVIATION,"Proposal, Reports, Engineering, Process, Mathematics, Supply chain management, Regulations, Investigations, Rfp, Assembly, Aviation, Green, Experiments, Statistical analysis, Distribution, Operations, Reporting, Specifications, Lean, Supply chain, Statistics, Testing, Key performance indicators, Metrics, Physics, Performance metrics, Finance, Auditing, Technical, Presentation, Regulatory, Solicitation, Calculus, Improvement, Six sigma, Etl, Mining, Kpi, Budget, Forecasts, Analysis, Mechanical engineering, Research, Training, Iso, Modeling, Design, Purchasing, Audit, Matlab",Bachelor of Science : Mechanical Engineering
28383893.pdf,AVIATION,"Audio, Teaching, Reports, Health, Standardization, Plan, Transport, Falcon, Aviation, Visual, Policies, Writing, Operations, Reporting, Specifications, Analyze, Inventory, Logistics, Html, Analytical, Technical, Administration, Scheduling, Html5, Data collection, Coaching, Vendors, Transportation, Safety, Interactive, Budget, Gunnery, Analysis, Research, Training, Strategy, Supervisor, Design, System, Reconciliation, Security",Bachelor of Science : Aeronautics 07/2015 Liberty University City
11065180.pdf,BANKING,"Real estate, Documentation, Process, Service delivery, Due diligence, Updates, Excel, Deposits, Compliance, Policies, Communication, Operations, Reporting, Sales, Analyze, Sharepoint, Mortgage, Partnership, Mis, Microsoft office, Administration, Quality assurance, Adobe, Word, Database, Regulatory, Illustrator, Improvement, Time management, Money, Legal, Photoshop, Employee relations, Powerpoint, Spanish","Bachelor of Professional Studies : Computer Information Systems DeVry Institute of Technology ï¼​ State Computer Information Systems
1989"
14391434.pdf,BANKING,"Proposal, Math, Sports, Reports, Plan, Regulations, Service delivery, Excel, Compliance, Policies, Controls, Communication, Correspondence, Quality control, Partnership, Internal controls, Banking, Microsoft office, Analytical, Technical, Administration, Windows, Database, Word, Email, Staffing, Certification, Payroll, Budget, Data entry, Training, Logistics, Powerpoint, Recruitment, Researching","Bachelor of Science : Human Development and Family Studies Indiana University ï¼​ City , State"
16300459.pdf,BANKING,"Math, Sports, Reports, Marketing, Spreadsheets, Transactions, Economics, Presentations, C, Excel, Programming, Writing, Financing, Financial analysis, Sales, Analyze, Mortgage, Accounting, Finance, International, Administration, Database, Word, Microsoft word, Budget, Video, Analysis, Research, Modeling, Powerpoint","Master of Science : Finance, Bachelor of Science"
17396388.pdf,BANKING,"Reports, Marketing, Process, Transactions, Deposits, Policies, Psychology, Schedule, Operations, Sales, Negotiation, Banking, Customer experience, Administration, Fulfillment, Responses, Time management, Money, Training, Legal, Forecasting, System, Customer service",Bachelor of Arts - Psychology
17823436.pdf,BANKING,"Sap, Reports, Crm, Documentation, Marketing, Process, Plan, Transactions, Engineering, Information technology, Java, Cloud, C, Ms project, Sql, Information security, Communication, Pdf, Requests, Sales, Test cases, Ibm, Healthcare, Oracle, Testing, Visio, Ui, Banking, Click, Tax, Linux, Retail, Html, International, Technical, English, Windows, Workflow, Troubleshooting, Db2, Database, Installation, Xml, Hardware, Payments, C++, Redhat, Mobile, Analysis, Servers, Automation, Research, Erp, Training, Market research, System, Migration, Sdlc, Security","Bachelor of Engineering , Information Technology"
18805506.pdf,BANKING,"Marketing, Process, Plan, Economics, Photography, Financing, Sales, Engagement, Tax, Accounting, Analytical, Technical, Finance, Administration, Financial performance, Regulatory, Money, Networking, Analysis, Research, Merchant, System","Bachelor of Commerce, Post Graduate Diploma in Business Administration, Post Graduate Diploma"
19911786.pdf,BANKING,"Editing, Reports, Marketing, Process, Spreadsheets, Presentations, Financial reporting, Compliance, Communication, Affiliate, Distribution, Reporting, Sales, Journalism, Analyze, Correspondence, Advertising, Merchandising, Retention, Inventory, Banking, Administration, Technical, Presentation, Hardware, Acquisition, Budget, Training, Billing, Strategy, Client service, Design, Logistics, Pr, Marketing plans, Powerpoint, Recruitment",Bachelor of Arts Degree
21645690.pdf,BANKING,"Real estate, Business management, Microsoft excel, Recruit, Reports, Documentation, Process, Administrative support, Transactions, Spreadsheets, Regulations, Analytics, Quickbooks, Presentations, Financial reporting, Excel, Compliance, Sales goals, Schedule, Requests, Operations, Reporting, Variances, Sales, Analyze, Correspondence, Statistics, Quality control, Sharepoint, Mortgage, Metrics, Banking, Tax, Access, Analytical, Database, Word, Staffing, Schedules, Human resources, Analysis, Research, Training, Peoplesoft, System, Project management, Reconciliation, Powerpoint",Bachelors of Business Management
25624652.pdf,BANKING,"Reports, Documentation, Process, Regulations, Counsel, Deposits, Compliance, Policies, Communication, Sales goals, Budgeting, Reporting, Sales, Retention, Administration, Technical, Invoicing, Budget, Analysis, Supervisor, Payments, Audit","Bachelor of Science : Business Administration, Masters of Business Administration"
25780596.pdf,BANKING,"Construction, Reports, Marketing, Process, Documentation, Regulations, Excel, Deposits, Reconcile, Compliance, Psychology, Writing, Investigate, Operations, Reporting, Sales, Analyze, Microsoft office suite, Financial statements, Mortgage, Inventory, Banking, Filing, Retail, Accounting, Finance, Coaching, Word, Responses, Payroll, Budget, Analysis, Investigation, Supervisor, Customer service",Bachelor of Arts : Psychology
29406313.pdf,BANKING,"Documentation, Process, Marketing, Regulations, Economics, Drafting, Compliance, Expenses, Controls, Financing, Operations, Sales, Business development, Quality control, Retention, Mortgage, Consulting, Underwriting, Banking, Regulatory compliance, Retail, Risk assessment, Warehouse, Analytical, Finance, Workflow, Vendors, Matrix, Regulatory, Improvement, Staffing, Acquisition, Process improvement, Risk management, Budget, Analysis, Forecasting, System, Project management, Customer service, Recruitment","Bachelor of Science Degree : Finance Banking and Financial Institutions Economics IOWA STATE UNIVERSITY ï¼​ City , State GPA: Alumni
of Alpha Kappa Psi Business Fraternity Finance Banking and Financial Institutions Economics Alumni of Alpha Kappa Psi Business Fraternity"
29552167.pdf,BANKING,"Requests, Investigate, Fitness, Resource management, Finance, Sales, Transactions, Coaching, Sales management, Fulfillment, Small business, Operational excellence, Mortgage, Partnerships, Banking, Communication","Minor in Business Management, Bachelor of Arts : Corporate Fitness , 2005"
29839396.pdf,BANKING,"Engineering, Java, Economics, Presentations, Content, Excel, French, Compliance, Financing, Financial analysis, Operations, Sales, Statistics, Python, Data analysis, Banking, Finance, Technical, Architecture, Calculus, Budget, Analysis, Research, Training, Spanish","Bachelor of Degree MONTH UNDERGRADUATE SCHOOL ï¼​ State 4.0, Bachelor of Science"
